,pos,pops,H1,H12,H123,H1_2
0,4783.6435,BFA (An. coluzzii),0.2843895747599451,0.3311385459533607,0.3733882030178326,0.02739726027397258
1,23379.1065,BFA (An. coluzzii),0.260877914951989,0.33124828532235945,0.39462277091906733,0.04169733936270883
2,37808.321,BFA (An. coluzzii),0.23794238683127572,0.3081755829903978,0.3812620027434842,0.05545947192436285
3,48932.2905,BFA (An. coluzzii),0.11914951989026061,0.20463648834019202,0.2441426611796982,0.2258807276076444
4,63680.5695,BFA (An. coluzzii),0.1433470507544581,0.17050754458161863,0.20041152263374484,0.06210526315789456
5,77392.5205,BFA (An. coluzzii),0.062277091906721524,0.10079561042524007,0.15064471879286698,0.40440528634361217
6,86124.9475,BFA (An. coluzzii),0.21179698216735252,0.36235939643347054,0.4241975308641975,0.18756476683937814
7,94808.7755,BFA (An. coluzzii),0.1059807956104252,0.16598079561042528,0.18672153635116598,0.15078954180688553
8,104868.7115,BFA (An. coluzzii),0.06737997256515775,0.11338820301783264,0.16737997256515774,0.6235749185667752
9,114191.2905,BFA (An. coluzzii),0.039204389574759954,0.06386831275720165,0.10008230452674896,0.6637508747375788
10,123216.681,BFA (An. coluzzii),0.03917695473251029,0.059698216735253766,0.07643347050754457,0.3221288515406161
11,131001.4745,BFA (An. coluzzii),0.029986282578875176,0.04282578875171467,0.05761316872427984,0.4071363220494054
12,138939.6085,BFA (An. coluzzii),0.023758573388203016,0.03585733882030179,0.05083676268861455,0.7453810623556583
13,147784.1555,BFA (An. coluzzii),0.02436213991769547,0.03582990397805212,0.05270233196159122,0.7274774774774773
14,155979.7935,BFA (An. coluzzii),0.032702331961591224,0.05251028806584363,0.06971193415637861,0.3942953020134228
15,165122.942,BFA (An. coluzzii),0.013443072702331959,0.017146776406035662,0.022414266117969817,0.770408163265306
16,172626.525,BFA (An. coluzzii),0.011906721536351163,0.015418381344307269,0.020027434842249656,0.705069124423963
17,180554.8545,BFA (An. coluzzii),0.012894375857338818,0.01662551440329218,0.022112482853223592,0.6925531914893617
18,187209.3885,BFA (An. coluzzii),0.01810699588477366,0.024142661179698217,0.031796982167352536,0.6969696969696969
19,194100.956,BFA (An. coluzzii),0.02606310013717421,0.03840877914951989,0.0532235939643347,0.5263157894736843
20,200525.1715,BFA (An. coluzzii),0.022249657064471882,0.031851851851851846,0.04148148148148147,0.6146732429099878
21,206617.887,BFA (An. coluzzii),0.014595336076817556,0.018545953360768173,0.024718792866941012,0.7593984962406014
22,214427.55,BFA (An. coluzzii),0.016021947873799725,0.02244170096021948,0.029245541838134426,0.7226027397260273
23,221743.8385,BFA (An. coluzzii),0.012812071330589847,0.015281207133058982,0.019972565157750338,0.892933618843683
24,229250.106,BFA (An. coluzzii),0.012949245541838133,0.015967078189300408,0.021728395061728394,0.871822033898305
25,236514.8805,BFA (An. coluzzii),0.01017832647462277,0.01305898491083676,0.017283950617283945,0.6967654986522911
26,246854.7655,BFA (An. coluzzii),0.008422496570644715,0.009766803840877913,0.012455418381344306,0.9201954397394136
27,254190.7705,BFA (An. coluzzii),0.0072153635116598055,0.008367626886145403,0.010150891632373114,0.9068441064638783
28,260599.5035,BFA (An. coluzzii),0.007517146776406034,0.008669410150891631,0.01045267489711934,0.9105839416058393
29,266167.3915,BFA (An. coluzzii),0.007599451303155005,0.008751714677640602,0.010891632373113854,0.9115523465703971
30,272082.1695,BFA (An. coluzzii),0.007078189300411521,0.008230452674897118,0.01037037037037037,0.9050387596899224
31,279109.814,BFA (An. coluzzii),0.006831275720164606,0.00765432098765432,0.009163237311385459,0.927710843373494
32,285287.78,BFA (An. coluzzii),0.009190672153635115,0.01138545953360768,0.014842249657064469,0.8507462686567164
33,291705.428,BFA (An. coluzzii),0.009492455418381344,0.011028806584362139,0.013909465020576129,0.907514450867052
34,298929.574,BFA (An. coluzzii),0.008422496570644717,0.01006858710562414,0.01270233196159122,0.8371335504885993
35,309407.85,BFA (An. coluzzii),0.006584362139917694,0.007572016460905348,0.009218106995884774,0.925
36,316266.0415,BFA (An. coluzzii),0.006419753086419751,0.007242798353909464,0.008751714677640604,0.923076923076923
37,323108.985,BFA (An. coluzzii),0.006227709190672153,0.00718792866941015,0.00850480109739369,0.8920704845814977
38,330690.186,BFA (An. coluzzii),0.005651577503429354,0.006200274348422497,0.007187928669410151,0.9393203883495146
39,340216.5075,BFA (An. coluzzii),0.005432098765432099,0.005871056241426613,0.006748971193415639,0.9595959595959596
40,350503.679,BFA (An. coluzzii),0.004773662551440329,0.005102880658436214,0.005679012345679012,0.9540229885057471
41,359112.18,BFA (An. coluzzii),0.00477366255144033,0.005102880658436214,0.005679012345679013,0.9540229885057471
42,366366.4525,BFA (An. coluzzii),0.004581618655692729,0.005075445816186557,0.005816186556927299,0.8922155688622755
43,375502.2925,BFA (An. coluzzii),0.0044170096021947875,0.004663923182441701,0.005157750342935528,0.9720496894409937
44,382199.118,BFA (An. coluzzii),0.0050480109739369,0.005486968449931413,0.006145404663923182,0.9565217391304348
45,388622.368,BFA (An. coluzzii),0.018299039780521265,0.022551440329218107,0.026502057613168723,0.27961019490254885
46,395790.959,BFA (An. coluzzii),0.005130315500685871,0.005569272976680384,0.006227709190672155,0.9572192513368983
47,404390.867,BFA (An. coluzzii),0.004609053497942387,0.004938271604938272,0.00551440329218107,0.9523809523809523
48,411579.9735,BFA (An. coluzzii),0.0044170096021947875,0.004581618655692729,0.004855967078189301,0.9720496894409937
49,418182.78,BFA (An. coluzzii),0.004609053497942387,0.004855967078189301,0.005349794238683128,0.9732142857142856
50,424582.794,BFA (An. coluzzii),0.005404663923182441,0.006090534979423868,0.00718792866941015,0.9365482233502539
51,430991.9905,BFA (An. coluzzii),0.005075445816186556,0.005761316872427984,0.006858710562414267,0.9324324324324325
52,437371.6545,BFA (An. coluzzii),0.0048559670781893,0.005404663923182442,0.006392318244170096,0.9293785310734464
53,444704.4365,BFA (An. coluzzii),0.0049382716049382715,0.005377229080932785,0.00625514403292181,0.9555555555555555
54,451102.7795,BFA (An. coluzzii),0.0054869684499314125,0.006145404663923182,0.007242798353909466,0.91
55,460321.419,BFA (An. coluzzii),0.004554183813443073,0.004883401920438958,0.005459533607681756,0.9518072289156626
56,467565.6285,BFA (An. coluzzii),0.005486968449931412,0.00617283950617284,0.007270233196159123,0.9375000000000001
57,475078.9175,BFA (An. coluzzii),0.004691358024691359,0.005020576131687243,0.005596707818930041,0.9532163742690059
58,481940.461,BFA (An. coluzzii),0.004718792866941015,0.005267489711934157,0.005761316872427983,0.9273255813953489
59,488818.75,BFA (An. coluzzii),0.004526748971193415,0.0049382716049382715,0.005377229080932785,0.9242424242424243
60,495503.5385,BFA (An. coluzzii),0.004773662551440329,0.005212620027434842,0.005871056241426613,0.9540229885057471
61,502336.204,BFA (An. coluzzii),0.0043895747599451305,0.004636488340192044,0.005130315500685871,0.9718749999999999
62,508964.2785,BFA (An. coluzzii),0.004883401920438957,0.005432098765432099,0.006172839506172839,0.9297752808988765
63,515479.0335,BFA (An. coluzzii),0.004663923182441701,0.005075445816186557,0.005733882030178328,0.9264705882352942
64,521818.9205,BFA (An. coluzzii),0.004471879286694101,0.004801097393689987,0.005377229080932785,0.950920245398773
65,531147.315,BFA (An. coluzzii),0.004554183813443072,0.004993141289437586,0.005651577503429355,0.9518072289156626
66,546037.3755,BFA (An. coluzzii),0.0043895747599451305,0.004718792866941015,0.005102880658436214,0.95
67,559259.3395,BFA (An. coluzzii),0.00430727023319616,0.004554183813443073,0.004883401920438958,0.9713375796178343
68,568228.8505,BFA (An. coluzzii),0.004691358024691358,0.0049382716049382715,0.005432098765432099,0.9736842105263157
69,575222.4405,BFA (An. coluzzii),0.004609053497942387,0.004855967078189301,0.005349794238683128,0.9732142857142856
70,585103.5865,BFA (An. coluzzii),0.00411522633744856,0.004224965706447188,0.0044444444444444444,0.9866666666666667
71,597742.2005,BFA (An. coluzzii),0.004334705075445817,0.00458161865569273,0.005075445816186557,0.9715189873417721
72,609614.8645,BFA (An. coluzzii),0.0044170096021947875,0.004663923182441701,0.005157750342935528,0.9720496894409937
73,622254.4995,BFA (An. coluzzii),0.004087791495198903,0.004252400548696845,0.004526748971193416,0.9697986577181207
74,634551.3995,BFA (An. coluzzii),0.004142661179698217,0.0043895747599451305,0.004718792866941016,0.9701986754966886
75,643256.4805,BFA (An. coluzzii),0.0043621399176954736,0.004609053497942386,0.005102880658436214,0.9716981132075471
76,655373.1905,BFA (An. coluzzii),0.0044444444444444444,0.004855967078189301,0.00551440329218107,0.9228395061728396
